Country,Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD,Total_Social_Spending,Development_Spending,Governance_Spending,Social_Spending_%,Development_Spending_%,Governance_Spending_%,Total_Allocated,Budget_Remaining
Colombia,2019,9.57,13.15,16.66,10.3,109.221,12.58,7.55,10.06,10.06,10.06,10.452,14.363,18.196,11.25,13.74,8.246,10.988,10.988,10.988,43.547,21.986,32.69,39.870537717105684,20.129828512831782,29.93014163942831,109.21099999999998,0.010000000000019327
Colombia,2020,10.54,13.15,18.45,9.42,106.737,12.11,7.27,9.69,9.69,9.69,11.25,14.036,19.693,10.055,12.926,7.76,10.343,10.343,10.343,44.072,20.686,31.648,41.29027422543261,19.380346084300665,29.650449235035648,106.74900000000001,-0.012000000000014666
Colombia,2021,9.32,13.15,19.37,10.29,122.693,11.97,7.18,9.57,9.57,9.57,11.435,16.134,23.766,12.625,14.686,8.809,11.742,11.742,11.742,51.641999999999996,23.494999999999997,35.802,42.090420806402975,19.14942172740091,29.180148826746432,122.68100000000001,0.011999999999986244
Colombia,2022,8.25,13.15,15.77,13.43,120.918,12.35,7.41,9.88,9.88,9.88,9.976,15.901,19.069,16.239,14.933,8.96,11.947,11.947,11.947,46.917,23.893,38.162000000000006,38.800674837493176,19.759671843728807,31.560230900279528,120.91900000000001,-0.0010000000000047748
Colombia,2023,8.46,13.15,16.19,13.18,131.884,12.25,7.35,9.8,9.8,9.8,11.157,17.343,21.352,17.382,16.156,9.693,12.925,12.925,12.925,51.620000000000005,25.848999999999997,41.464,39.14045676503595,19.599799824087835,31.439750083406633,131.858,0.025999999999982037
Colombia,2024,10.12,13.15,17.24,13.18,151.152,11.57,6.94,9.26,9.26,9.26,15.297,19.876,26.059,19.922,17.488,10.49,13.997,13.997,13.997,59.932,27.978,49.216,39.650153487879756,18.50984439504605,32.560601249073784,151.123,0.028999999999996362
Colombia,2025,10.12,13.15,17.24,13.18,164.418,11.57,6.94,9.26,9.26,9.26,16.639,21.621,28.346,21.67,19.023,11.411,15.225,15.225,15.225,65.192,30.433999999999997,53.534,39.65015995815543,18.51013879258962,32.55969541047817,164.385,0.03300000000001546
Colombia,2026,10.12,13.15,17.24,13.18,170.172,11.57,6.94,9.26,9.26,9.26,17.221,22.378,29.338,22.429,19.689,11.81,15.758,15.758,15.758,67.474,31.499000000000002,55.408,39.65047128787345,18.510095667912466,32.55999811954963,170.13900000000004,0.03299999999995862
Egypt,1946,9.79,15.35,6.66,3.08,0.921,19.53,9.77,9.77,9.77,16.28,0.09,0.141,0.061,0.028,0.18,0.09,0.09,0.09,0.15,0.292,0.27,0.268,31.704668838219323,29.31596091205212,29.09880564603692,0.9199999999999999,0.001000000000000112
Egypt,1947,9.79,15.35,6.66,3.08,0.967,19.53,9.77,9.77,9.77,16.28,0.095,0.148,0.064,0.03,0.189,0.094,0.094,0.094,0.157,0.306,0.28300000000000003,0.28200000000000003,31.64426059979317,29.265770423991732,29.16235780765254,0.965,0.0020000000000000018
Egypt,1948,9.79,15.35,6.66,3.08,1.015,19.53,9.77,9.77,9.77,16.28,0.099,0.156,0.068,0.031,0.198,0.099,0.099,0.099,0.165,0.323,0.29700000000000004,0.29500000000000004,31.82266009852217,29.26108374384237,29.064039408867004,1.014,0.0009999999999998899
Egypt,1949,9.79,15.35,6.66,3.08,1.066,19.53,9.77,9.77,9.77,16.28,0.104,0.164,0.071,0.033,0.208,0.104,0.104,0.104,0.174,0.33899999999999997,0.312,0.31099999999999994,31.801125703564725,29.268292682926827,29.17448405253283,1.0659999999999998,2.220446049250313e-16
Egypt,1950,9.79,15.35,6.66,3.08,1.119,19.53,9.77,9.77,9.77,16.28,0.11,0.172,0.075,0.034,0.219,0.109,0.109,0.109,0.182,0.356,0.328,0.32599999999999996,31.814119749776587,29.31188561215371,29.133154602323497,1.119,0.0
Egypt,1951,9.79,15.35,6.66,3.08,1.175,19.53,9.77,9.77,9.77,16.28,0.115,0.18,0.078,0.036,0.23,0.115,0.115,0.115,0.191,0.373,0.34500000000000003,0.34199999999999997,31.744680851063826,29.361702127659576,29.1063829787234,1.175,0.0
Egypt,1952,9.79,15.35,6.66,3.08,1.234,19.53,9.77,9.77,9.77,16.28,0.121,0.189,0.082,0.038,0.241,0.121,0.121,0.121,0.201,0.392,0.362,0.36,31.766612641815232,29.3354943273906,29.17341977309562,1.235,-0.001000000000000112
Egypt,1953,9.79,15.35,6.66,3.08,1.296,19.53,9.77,9.77,9.77,16.28,0.127,0.199,0.086,0.04,0.253,0.127,0.127,0.127,0.211,0.41200000000000003,0.38,0.37799999999999995,31.790123456790127,29.320987654320984,29.166666666666664,1.2970000000000002,-0.001000000000000112
Egypt,1954,9.79,15.35,6.66,3.08,1.361,19.53,9.77,9.77,9.77,16.28,0.133,0.209,0.091,0.042,0.266,0.133,0.133,0.133,0.222,0.433,0.399,0.39699999999999996,31.814842027920648,29.316678912564292,29.16972814107274,1.3619999999999999,-0.0009999999999998899
Egypt,1955,9.79,15.35,6.66,3.08,1.429,19.53,9.77,9.77,9.77,16.28,0.14,0.219,0.095,0.044,0.279,0.14,0.14,0.14,0.233,0.454,0.41900000000000004,0.417,31.7704688593422,29.321203638908326,29.1812456263121,1.4300000000000002,-0.001000000000000112
Egypt,1956,9.79,15.35,6.66,3.08,1.5,19.53,9.77,9.77,9.77,16.28,0.147,0.23,0.1,0.046,0.293,0.147,0.147,0.147,0.244,0.477,0.43999999999999995,0.437,31.8,29.33333333333333,29.133333333333333,1.5010000000000001,-0.001000000000000112
Egypt,1957,9.79,15.35,6.66,3.08,1.575,19.53,9.77,9.77,9.77,16.28,0.154,0.242,0.105,0.049,0.308,0.154,0.154,0.154,0.256,0.501,0.46199999999999997,0.459,31.80952380952381,29.333333333333332,29.142857142857142,1.5759999999999998,-0.0009999999999998899
Egypt,1958,9.79,15.35,6.66,3.08,1.654,19.53,9.77,9.77,9.77,16.28,0.162,0.254,0.11,0.051,0.323,0.162,0.162,0.162,0.269,0.526,0.485,0.48200000000000004,31.80169286577993,29.32285368802902,29.141475211608224,1.6549999999999998,-0.0009999999999998899
Egypt,1959,9.79,15.35,6.66,3.08,1.737,19.53,9.77,9.77,9.77,16.28,0.17,0.267,0.116,0.053,0.339,0.17,0.17,0.17,0.283,0.553,0.509,0.506,31.836499712147383,29.303396660909613,29.13068508923431,1.7379999999999998,-0.0009999999999996678
Egypt,1960,9.79,15.35,6.66,3.08,1.823,19.53,9.77,9.77,9.77,16.28,0.179,0.28,0.121,0.056,0.356,0.178,0.178,0.178,0.297,0.579,0.534,0.532,31.76083379045529,29.292375205704886,29.182665935271533,1.823,0.0
Egypt,1961,9.79,15.35,6.66,3.08,1.948,19.53,9.77,9.77,9.77,16.28,0.191,0.299,0.13,0.06,0.381,0.19,0.19,0.19,0.317,0.619,0.571,0.5680000000000001,31.77618069815195,29.312114989733058,29.158110882956883,1.9479999999999997,2.220446049250313e-16
Egypt,1962,9.79,15.35,6.66,3.08,1.749,19.53,9.77,9.77,9.77,16.28,0.171,0.269,0.117,0.054,0.342,0.171,0.171,0.171,0.285,0.557,0.513,0.51,31.846769582618638,29.331046312178387,29.15951972555746,1.7510000000000001,-0.0020000000000000018
Egypt,1963,9.79,15.35,6.66,3.08,1.815,19.53,9.77,9.77,9.77,16.28,0.178,0.279,0.121,0.056,0.355,0.177,0.177,0.177,0.296,0.577,0.532,0.53,31.790633608815426,29.311294765840223,29.201101928374655,1.8160000000000003,-0.001000000000000334
Egypt,1964,9.79,15.35,6.66,3.08,2.042,19.53,9.77,9.77,9.77,16.28,0.2,0.313,0.136,0.063,0.399,0.199,0.199,0.199,0.332,0.648,0.5980000000000001,0.595,31.733594515181196,29.28501469147895,29.13809990205681,2.04,0.0019999999999997797
Egypt,1965,9.79,15.35,6.66,3.08,2.145,19.53,9.77,9.77,9.77,16.28,0.21,0.329,0.143,0.066,0.419,0.21,0.21,0.21,0.349,0.6819999999999999,0.629,0.625,31.794871794871792,29.324009324009324,29.13752913752914,2.146,-0.0009999999999998899
Egypt,1966,9.79,15.35,6.66,3.08,2.288,19.53,9.77,9.77,9.77,16.28,0.224,0.351,0.152,0.07,0.447,0.224,0.224,0.224,0.372,0.727,0.671,0.6659999999999999,31.774475524475527,29.326923076923084,29.10839160839161,2.288,0.0
Egypt,1967,9.79,15.35,6.66,3.08,2.43,19.53,9.77,9.77,9.77,16.28,0.238,0.373,0.162,0.075,0.475,0.237,0.237,0.237,0.396,0.772,0.712,0.709,31.76954732510288,29.30041152263374,29.176954732510286,2.43,0.0
Egypt,1968,9.79,15.35,6.66,3.08,2.572,19.53,9.77,9.77,9.77,16.28,0.252,0.395,0.171,0.079,0.502,0.251,0.251,0.251,0.419,0.8170000000000001,0.753,0.75,31.765163297045103,29.27682737169518,29.160186625194402,2.5709999999999997,0.001000000000000334
Egypt,1969,9.79,15.35,6.66,3.08,2.828,19.53,9.77,9.77,9.77,16.28,0.277,0.434,0.188,0.087,0.552,0.276,0.276,0.276,0.46,0.898,0.8280000000000001,0.8240000000000001,31.75388967468176,29.278642149929286,29.13719943422914,2.8259999999999996,0.002000000000000224
Egypt,1970,9.79,15.35,6.66,3.08,3.486,19.53,9.77,9.77,9.77,16.28,0.341,0.535,0.232,0.107,0.681,0.341,0.341,0.341,0.568,1.108,1.022,1.016,31.78427997705106,29.31726907630522,29.1451520367183,3.4870000000000005,-0.001000000000000334
Egypt,1971,9.79,15.35,6.66,3.08,3.732,19.53,9.77,9.77,9.77,16.28,0.365,0.573,0.249,0.115,0.729,0.365,0.365,0.365,0.608,1.1869999999999998,1.0939999999999999,1.088,31.806002143622713,29.31404072883172,29.153269024651664,3.7340000000000004,-0.002000000000000224
Egypt,1972,9.79,15.35,6.66,3.08,4.031,19.53,9.77,9.77,9.77,16.28,0.395,0.619,0.268,0.124,0.787,0.394,0.394,0.394,0.656,1.2810000000000001,1.181,1.1750000000000003,31.778714959067234,29.297940957578767,29.149094517489466,4.031000000000001,-8.881784197001252e-16
Egypt,1973,9.79,15.35,6.66,3.08,4.378,19.53,9.77,9.77,9.77,16.28,0.429,0.672,0.292,0.135,0.855,0.428,0.428,0.428,0.713,1.392,1.283,1.277,31.7953403380539,29.305619004111467,29.16857012334399,4.38,-0.0019999999999997797
Egypt,1974,9.79,15.35,6.66,3.08,4.001,19.53,9.77,9.77,9.77,16.28,0.392,0.614,0.266,0.123,0.781,0.391,0.391,0.391,0.651,1.271,1.1720000000000002,1.1660000000000001,31.767058235441137,29.292676830792303,29.142714321419643,4.0,0.001000000000000334
Egypt,1975,9.79,15.35,6.66,3.08,5.043,19.53,9.77,9.77,9.77,16.28,0.494,0.774,0.336,0.155,0.985,0.493,0.493,0.493,0.821,1.6030000000000002,1.478,1.47,31.78663493952013,29.307951616101523,29.14931588340274,5.044,-0.0009999999999994458
Egypt,1976,9.79,15.35,6.66,3.41,4.974,19.44,9.72,9.72,9.72,16.2,0.487,0.764,0.331,0.17,0.967,0.483,0.483,0.483,0.806,1.5779999999999998,1.45,1.463,31.724969843184553,29.15158825894652,29.412947326095697,4.974,0.0
Egypt,1977,9.79,15.35,6.66,4.85,5.218,19.0,9.5,9.5,9.5,15.84,0.511,0.801,0.348,0.253,0.992,0.496,0.496,0.496,0.827,1.645,1.488,1.5910000000000002,31.52548869298582,28.51667305481027,30.49060942889997,5.220000000000001,-0.002000000000000668
Egypt,1978,9.79,15.35,6.66,8.09,4.736,18.03,9.02,9.02,9.02,15.03,0.464,0.727,0.315,0.383,0.854,0.427,0.427,0.427,0.712,1.469,1.281,1.559,31.01773648648649,27.04814189189189,32.91807432432432,4.736,0.0
Egypt,1979,9.79,15.35,6.66,9.4,5.993,17.64,8.82,8.82,8.82,14.7,0.587,0.92,0.399,0.563,1.057,0.529,0.529,0.529,0.881,1.8479999999999999,1.5859999999999999,2.0309999999999997,30.83597530452194,26.464208242950104,33.8895377940931,5.994000000000001,-0.001000000000000334
Egypt,1980,9.79,15.35,6.66,6.64,7.924,18.47,9.23,9.23,9.23,15.39,0.776,1.216,0.528,0.526,1.464,0.731,0.731,0.731,1.22,2.475,2.195,2.5220000000000002,31.23422513881878,27.700656234225136,31.827359919232713,7.922999999999999,0.0010000000000012221
Egypt,1981,9.79,15.35,6.66,6.64,8.095,18.47,9.23,9.23,9.23,15.39,0.792,1.243,0.539,0.538,1.495,0.747,0.747,0.747,1.246,2.529,2.242,2.5760000000000005,31.24150710315009,27.696108709079674,31.822112415071036,8.094,0.0010000000000012221
Egypt,1982,9.79,15.35,6.66,4.96,10.95,18.97,9.49,9.49,9.49,15.81,1.072,1.681,0.729,0.543,2.077,1.039,1.039,1.039,1.731,3.449,3.1159999999999997,3.346,31.497716894977167,28.45662100456621,30.557077625570777,10.95,0.0
Egypt,1983,9.79,15.35,6.66,8.94,9.997,17.78,8.89,8.89,8.89,14.81,0.979,1.534,0.666,0.894,1.777,0.889,0.889,0.889,1.48,3.0890000000000004,2.666,3.353,30.899269780934286,26.668000400120036,33.54006201860558,9.997,0.0
Egypt,1984,9.79,15.35,6.66,9.41,11.01,17.64,8.82,8.82,8.82,14.7,1.078,1.69,0.733,1.036,1.942,0.971,0.971,0.971,1.618,3.394,2.913,3.732,30.826521344232518,26.45776566757493,33.89645776566758,11.01,0.0
Egypt,1985,9.79,15.35,6.66,9.52,11.943,17.6,8.8,8.8,8.8,14.67,1.169,1.833,0.795,1.137,2.102,1.051,1.051,1.051,1.752,3.6790000000000003,3.1529999999999996,4.058,30.804655446705187,26.400401909068073,33.978062463367664,11.941,0.0019999999999988916
Egypt,1986,9.79,15.35,6.66,10.09,12.401,17.43,8.72,8.72,8.72,14.53,1.214,1.903,0.826,1.251,2.161,1.081,1.081,1.081,1.802,3.81,3.242,4.2669999999999995,30.72332876380937,26.14305297959842,34.408515442303035,12.399999999999999,0.0010000000000012221
Egypt,1987,9.79,15.35,6.66,12.15,10.415,16.81,8.41,8.41,8.41,14.01,1.02,1.599,0.694,1.265,1.751,0.876,0.876,0.876,1.459,3.169,2.627,3.7439999999999998,30.42726836293807,25.223235717714836,35.94815170427268,10.415999999999999,-0.0009999999999994458
Egypt,1988,9.79,15.35,6.66,12.26,9.604,16.78,8.39,8.39,8.39,13.98,0.94,1.474,0.64,1.177,1.611,0.806,0.806,0.806,1.343,2.92,2.417,3.46,30.403998334027488,25.166597251145355,36.02665556018326,9.603,0.0009999999999994458
Egypt,1989,9.79,15.35,6.66,14.73,9.244,16.04,8.02,8.02,8.02,13.37,0.905,1.419,0.616,1.362,1.483,0.741,0.741,0.741,1.236,2.7760000000000002,2.224,3.503,30.030289917784515,24.058848983124193,37.89485071397664,9.244,0.0
Egypt,1990,9.79,15.35,6.66,16.28,8.85,15.58,7.79,7.79,7.79,12.98,0.866,1.358,0.589,1.441,1.379,0.689,0.689,0.689,1.149,2.636,2.068,3.4560000000000004,29.785310734463277,23.367231638418083,39.05084745762713,8.849,0.0009999999999994458
Egypt,1991,9.79,15.35,6.66,19.14,8.72,14.72,7.36,7.36,7.36,12.26,0.854,1.339,0.581,1.669,1.284,0.642,0.642,0.642,1.069,2.562,1.9260000000000002,3.592,29.380733944954123,22.087155963302752,41.19266055045871,8.722000000000001,-0.002000000000000668
Egypt,1992,9.79,15.35,6.66,18.08,12.49,15.03,7.52,7.52,7.52,12.53,1.223,1.917,0.832,2.258,1.877,0.939,0.939,0.939,1.565,3.688,2.816,5.046,29.52762209767814,22.54603682946357,40.400320256204964,12.489,0.0009999999999994458
Egypt,1993,9.79,15.35,6.66,27.49,12.523,12.21,6.11,6.11,6.11,10.18,1.226,1.922,0.834,3.443,1.529,0.765,0.765,0.765,1.275,3.521,2.294,5.944,28.116266070430406,18.318294338417314,47.46466501636988,12.524000000000003,-0.0010000000000029985
Egypt,1994,9.79,15.35,6.66,30.69,13.738,11.25,5.63,5.63,5.63,9.38,1.345,2.109,0.915,4.216,1.546,0.773,0.773,0.773,1.289,3.797,2.319,6.85,27.638666472557873,16.880186344446063,49.86169748143834,13.738999999999999,-0.0009999999999994458
Egypt,1995,9.79,15.35,6.66,26.02,14.448,12.65,6.33,6.33,6.33,10.54,1.414,2.218,0.962,3.759,1.828,0.915,0.915,0.915,1.523,4.095,2.7430000000000003,6.696,28.343023255813947,18.985326688815064,46.34551495016611,14.448999999999998,-0.0009999999999976694
Egypt,1996,9.79,15.35,6.66,25.93,15.563,12.68,6.34,6.34,6.34,10.57,1.524,2.389,1.036,4.035,1.973,0.987,0.987,0.987,1.645,4.412,2.96,7.204000000000001,28.34928998265116,19.019469253999873,46.28927584655915,15.563,0.0
Egypt,1997,9.79,15.35,6.66,23.99,16.23,13.26,6.63,6.63,6.63,11.05,1.589,2.491,1.081,3.894,2.152,1.076,1.076,1.076,1.793,4.648,3.228,7.276,28.638324091189155,19.88909426987061,44.8305606900801,16.228,0.0019999999999988916
Egypt,1998,9.79,15.35,6.66,19.67,19.738,14.56,7.28,7.28,7.28,12.13,1.932,3.03,1.315,3.882,2.874,1.437,1.437,1.437,2.394,5.782,4.311,8.208,29.29374810011146,21.841118654372277,41.584760360725504,19.738,0.0
Egypt,1999,9.79,15.35,6.66,19.67,21.107,14.56,7.28,7.28,7.28,12.13,2.066,3.24,1.406,4.152,3.073,1.537,1.537,1.537,2.56,6.183,4.609999999999999,8.777999999999999,29.293599279859762,21.841095371203863,41.588098735016814,21.107999999999997,-0.0009999999999976694
Egypt,2000,9.82,15.35,6.66,19.67,23.23,14.55,7.28,7.28,7.28,12.13,2.281,3.566,1.547,4.569,3.38,1.691,1.691,1.691,2.818,6.803999999999999,5.071,9.668,29.289711579853634,21.82953077916487,41.61859664227292,23.233999999999998,-0.003999999999997783
Egypt,2001,10.72,15.35,6.63,19.67,22.497,14.29,7.15,7.15,7.15,11.91,2.412,3.453,1.492,4.425,3.215,1.609,1.609,1.609,2.679,6.554,4.824,9.515999999999998,29.132773258656712,21.44285904787305,42.29897319642618,22.503000000000004,-0.00600000000000378
Egypt,2002,10.6,15.35,6.14,19.67,19.812,14.47,7.24,7.24,7.24,12.06,2.1,3.041,1.216,3.897,2.867,1.434,1.434,1.434,2.389,5.691,4.301,8.386,28.725015142337973,21.70906521300222,42.327882091661614,19.811999999999998,3.552713678800501e-15
Egypt,2003,10.37,15.35,5.44,20.79,18.739,14.41,7.21,7.21,7.21,12.01,1.943,2.876,1.019,3.896,2.7,1.351,1.351,1.351,2.251,5.2459999999999996,4.051,8.09,27.995090453065796,21.618015902662897,43.171994236618815,18.738,0.0010000000000012221
Egypt,2004,9.55,14.75,5.24,21.09,18.09,14.81,7.41,7.41,7.41,12.34,1.728,2.668,0.948,3.815,2.679,1.34,1.34,1.34,2.232,4.956,4.019,7.775,27.39635157545606,22.216694306246545,42.97954671089,18.09,0.0
Egypt,2005,8.95,15.04,5.24,20.21,20.97,15.16,7.58,7.58,7.58,12.64,1.877,3.154,1.099,4.238,3.179,1.59,1.59,1.59,2.651,5.843,4.769,8.766,27.863614687649026,22.74201239866476,41.80257510729614,20.968,0.0019999999999988916
Egypt,2006,7.55,11.02,5.05,17.2,30.055,17.76,8.88,8.88,8.88,14.8,2.269,3.312,1.518,5.169,5.338,2.669,2.669,2.669,4.448,7.4990000000000006,8.007,11.886,24.950923307270006,26.641157877225087,39.547496256862416,30.061,-0.006000000000000227
Egypt,2007,7.61,11.21,5.02,17.56,32.675,17.58,8.79,8.79,8.79,14.65,2.487,3.663,1.64,5.738,5.744,2.872,2.872,2.872,4.787,8.175,8.616,13.012,25.019127773527167,26.368783473603674,39.82249426166795,32.675,0.0
Egypt,2008,6.67,10.94,4.7,15.09,42.153,18.78,9.39,9.39,9.39,15.65,2.812,4.611,1.981,6.361,7.916,3.958,3.958,3.958,6.597,10.55,11.874,15.77,25.027874647118832,28.168813607572417,37.41133489905819,42.152,0.0009999999999976694
Egypt,2009,6.25,10.94,4.72,13.96,48.58,19.24,9.62,9.62,9.62,16.03,3.036,5.315,2.293,6.782,9.347,4.673,4.673,4.673,7.787,12.281,14.02,17.605,25.279950596953483,28.859613009468916,36.23919308357349,48.57900000000001,0.000999999999990564
Egypt,2010,6.23,10.94,4.36,17.86,53.967,18.18,9.09,9.09,9.09,15.15,3.362,5.904,2.353,9.639,9.811,4.906,4.906,4.906,8.176,13.163,14.716999999999999,21.177,24.3908314340245,27.27036892916041,39.2406470620935,53.963,0.003999999999997783
Egypt,2011,6.01,10.94,4.83,19.08,58.823,17.74,8.87,8.87,8.87,14.78,3.535,6.435,2.841,11.223,10.435,5.218,5.218,5.218,8.694,14.494,15.653,23.452,24.64002176019584,26.61033949305544,39.86875881882937,58.81700000000001,0.005999999999993122
Egypt,2012,5.34,10.94,4.39,19.44,68.38,17.97,8.98,8.98,8.98,14.97,3.651,7.481,3.002,13.293,12.288,6.14,6.14,6.14,10.236,16.623,18.428,27.18,24.30973968996783,26.94940040947646,39.74846446329337,68.37100000000001,0.00899999999998613
Egypt,2013,4.65,10.94,4.16,22.59,79.313,17.3,8.65,8.65,8.65,14.42,3.688,8.677,3.299,17.917,13.721,6.861,6.861,6.861,11.437,18.837,20.582,33.042,23.75020488444517,25.95034861876363,41.66025746094587,79.322,-0.009000000000000341
Egypt,2014,4.74,10.94,4.16,22.72,85.908,17.23,8.62,8.62,8.62,14.36,4.072,9.398,3.574,19.518,14.802,7.405,7.405,7.405,12.336,20.377,22.207,35.926,23.719560460027004,25.849746240163896,41.819155375517994,85.91499999999999,-0.006999999999990791
Egypt,2015,5.23,10.94,5.06,24.23,85.024,16.36,8.18,8.18,8.18,13.63,4.447,9.302,4.302,20.601,13.91,6.955,6.955,6.955,11.589,20.558999999999997,20.865000000000002,36.637,24.180231464057204,24.540129845690632,43.09018630033873,85.01599999999999,0.008000000000009777
Egypt,2016,5.09,10.94,5.06,24.23,85.818,16.4,8.2,8.2,8.2,13.67,4.368,9.388,4.342,20.794,14.074,7.037,7.037,7.037,11.731,20.767,21.111,36.893,24.198886014589014,24.59973432147102,42.989815656389105,85.80799999999999,0.010000000000005116
Egypt,2017,4.42,10.94,5.42,24.23,64.113,16.5,8.25,8.25,8.25,13.75,2.834,7.014,3.475,15.535,10.579,5.289,5.289,5.289,8.816,15.778,15.868,27.185000000000002,24.60967354514685,24.750050691747386,42.4016970037278,64.12,-0.007000000000005002
Egypt,2018,4.15,10.94,4.72,24.23,67.786,16.79,8.39,8.39,8.39,13.99,2.813,7.416,3.199,16.424,11.381,5.687,5.687,5.687,9.483,16.302,17.068,28.72,24.049213701944353,25.179240551146254,42.36863069070309,67.777,0.009000000000000341
Egypt,2019,4.18,10.94,4.82,24.23,82.265,16.75,8.37,8.37,8.37,13.96,3.439,9.0,3.965,19.933,13.779,6.886,6.886,6.886,11.484,19.851,20.665,34.856,24.130553698413664,25.12003889868109,42.370388379019026,82.258,0.007000000000005002
Egypt,2020,4.51,10.94,5.16,24.23,99.08,16.55,8.27,8.27,8.27,13.79,4.469,10.839,5.113,24.007,16.398,8.194,8.194,8.194,13.663,24.146,24.592,42.139,24.37020589422689,24.820347194186514,42.53027856277755,99.071,0.009000000000000341
Egypt,2021,4.76,10.94,6.8,24.23,109.626,15.98,7.99,7.99,7.99,13.32,5.218,11.993,7.455,26.562,17.518,8.759,8.759,8.759,14.602,28.207,26.277,46.382000000000005,25.73020998668199,23.969678725849707,42.30930618648861,109.625,0.0010000000000047748
Egypt,2022,4.6,10.94,6.76,24.23,123.069,16.04,8.02,8.02,8.02,13.37,5.661,13.464,8.319,29.82,19.74,9.87,9.87,9.87,16.454,31.653,29.61,51.935,25.719718206859564,24.059673841503546,42.199904118827654,123.06800000000001,0.000999999999990564
Egypt,2023,4.2,10.94,6.93,24.23,102.206,16.11,8.05,8.05,8.05,13.42,4.293,11.181,7.083,24.764,16.465,8.228,8.228,8.228,13.716,26.491999999999997,24.692999999999998,42.772999999999996,25.920200379625456,24.160029743850654,41.84979355419446,102.18599999999998,0.020000000000024443
Egypt,2024,2.93,10.94,6.93,24.23,100.433,16.49,8.24,8.24,8.24,13.74,2.943,10.987,6.96,24.335,16.561,8.276,8.276,8.276,13.8,26.223,24.837,41.078,26.109943942727988,24.729919448786752,40.900899106867264,100.41399999999999,0.019000000000019668
Egypt,2025,2.93,10.94,6.93,24.23,94.288,16.49,8.24,8.24,8.24,13.74,2.763,10.315,6.534,22.846,15.548,7.769,7.769,7.769,12.955,24.618000000000002,23.317,38.564,26.10936704564738,24.729552010860345,40.900220600712714,94.26800000000001,0.01999999999998181
Egypt,2026,2.93,10.94,6.93,24.23,97.588,16.49,8.24,8.24,8.24,13.74,2.859,10.676,6.763,23.646,16.092,8.041,8.041,8.041,13.409,25.48,24.133,39.914,26.10976759437636,24.729474935442884,40.90052055580605,97.568,0.01999999999999602
France,1946,5.77,11.51,5.0,5.0,11.377,10.91,7.27,14.54,25.45,14.54,0.656,1.309,0.569,0.569,1.241,0.827,1.654,2.895,1.654,4.773,2.068,2.879,41.953063197679526,18.177023819987696,25.305440801617294,11.373999999999999,0.00300000000000189
France,1947,5.77,11.51,5.0,5.0,11.946,10.91,7.27,14.54,25.45,14.54,0.689,1.375,0.597,0.597,1.303,0.868,1.737,3.04,1.737,5.0120000000000005,2.171,3.023,41.955466264858536,18.17344717897204,25.305541603884148,11.943,0.0030000000000001137
France,1948,5.77,11.51,5.0,5.0,12.543,10.91,7.27,14.54,25.45,14.54,0.724,1.444,0.627,0.627,1.368,0.912,1.824,3.192,1.824,5.263,2.2800000000000002,3.175,41.95965877381806,18.177469504903137,25.31292354301204,12.542,0.0009999999999994458
France,1949,5.77,11.51,5.0,5.0,13.17,10.91,7.27,14.54,25.45,14.54,0.76,1.516,0.659,0.659,1.437,0.957,1.915,3.352,1.915,5.526999999999999,2.394,3.3339999999999996,41.96659073652239,18.177676537585423,25.315110098709187,13.169999999999998,1.7763568394002505e-15
France,1950,5.77,11.51,5.0,5.0,13.829,10.91,7.27,14.54,25.45,14.54,0.798,1.592,0.691,0.691,1.509,1.005,2.011,3.519,2.011,5.802,2.514,3.5,41.955311302335666,18.179188661508423,25.309132981415868,13.827000000000002,0.0019999999999988916
France,1951,5.77,11.51,5.0,5.0,14.52,10.91,7.27,14.54,25.45,14.54,0.838,1.671,0.726,0.726,1.584,1.056,2.111,3.695,2.111,6.0920000000000005,2.64,3.6750000000000003,41.955922865013775,18.181818181818183,25.3099173553719,14.518,0.0019999999999988916
France,1952,5.77,11.51,5.0,5.0,15.246,10.91,7.27,14.54,25.45,14.54,0.88,1.755,0.762,0.762,1.663,1.108,2.217,3.88,2.217,6.397,2.771,3.859,41.95854650400105,18.175259084349992,25.311557129738947,15.244000000000002,0.0019999999999988916
France,1953,5.77,11.51,5.0,5.0,16.008,10.91,7.27,14.54,25.45,14.54,0.924,1.843,0.8,0.8,1.747,1.164,2.328,4.074,2.328,6.717,2.911,4.052,41.96026986506747,18.18465767116442,25.312343828085954,16.008,0.0
France,1954,5.77,11.51,5.0,5.0,16.809,10.91,7.27,14.54,25.45,14.54,0.97,1.935,0.84,0.84,1.834,1.222,2.444,4.278,2.444,7.052999999999999,3.056,4.254,41.95966446546492,18.180736510202866,25.30787078350883,16.807,0.0020000000000024443
